A00001,N
A00002,N
A00003,N
A00006,N
A00007,N
A00010,N
A00011,N
A00012,N
A00014,N
A00016,N
A00018,N
A00019,N
A00021,N
A00025,N
A00026,N
A00028,N
A00031,N
A00032,N
A00033,N
A00035,N
A00036,N
A00037,N
A00039,N
A00040,N
A00042,N
A00044,N
A00045,N
A00046,N
A00048,N
A00049,N
A00050,N
A00051,N
A00052,N
A00053,N
A00057,N
A00059,N
A00060,N
A00062,N
A00063,N
A00064,N
A00066,N
A00068,N
A00072,N
A00073,N
A00076,N
A00079,N
A00080,N
A00081,N
A00084,N
A00085,N
A00086,N
A00089,N
A00091,N
A00093,N
A00094,N
A00095,N
A00097,N
A00098,N
A00099,N
A00104,N
A00105,N
A00109,N
A00111,N
A00112,N
A00113,N
A00116,N
A00117,N
A00118,N
A00122,N
A00124,N
A00127,N
A00129,N
A00130,N
A00134,N
A00135,N
A00140,N
A00142,N
A00143,N
A00144,N
A00146,N
A00147,N
A00148,N
A00149,N
A00150,N
A00151,N
A00152,N
A00153,N
A00154,N
A00157,N
A00160,N
A00163,N
A00165,N
A00166,N
A00167,N
A00168,N
A00169,N
A00171,N
A00172,N
A00173,N
A00174,N
A00175,N
A00177,N
A00178,N
A00179,N
A00180,N
A00182,N
A00183,N
A00184,N
A00185,N
A00188,N
A00190,N
A00191,N
A00192,N
A00193,N
A00194,N
A00197,N
A00199,N
A00200,N
A00202,N
A00206,N
A00207,N
A00210,N
A00214,N
A00219,N
A00221,N
A00222,N
A00223,N
A00224,N
A00226,N
A00227,N
A00228,N
A00229,N
A00230,N
A00232,N
A00233,N
A00234,N
A00235,N
A00236,N
A00237,N
A00238,N
A00239,N
A00240,N
A00241,N
A00242,N
A00244,N
A00245,N
A00248,N
A00249,N
A00250,N
A00254,N
A00256,N
A00257,N
A00258,N
A00261,N
A00262,N
A00263,N
A00265,N
A00266,N
A00269,N
A00272,N
A00273,N
A00274,N
A00275,N
A00276,N
A00277,N
A00279,N
A00280,N
A00281,N
A00283,N
A00284,N
A00287,N
A00289,N
A00290,N
A00292,N
A00294,N
A00295,N
A00297,N
A00299,N
A00302,N
A00303,N
A00304,N
A00305,N
A00306,N
A00309,N
A00311,N
A00312,N
A00313,N
A00314,N
A00315,N
A00316,N
A00318,N
A00319,N
A00320,N
A00322,N
A00323,N
A00328,N
A00330,N
A00331,N
A00332,N
A00333,N
A00334,N
A00336,N
A00338,N
A00339,N
A00341,N
A00346,N
A00347,N
A00349,N
A00350,N
A00351,N
A00352,N
A00354,N
A00355,N
A00356,N
A00357,N
A00358,N
A00359,N
A00360,N
A00361,N
A00363,N
A00364,N
A00365,N
A00366,N
A00367,N
A00368,N
A00369,N
A00371,N
A00372,N
A00374,N
A00376,N
A00377,N
A00378,N
A00380,N
A00381,N
A00382,N
A00383,N
A00386,N
A00387,N
A00388,N
A00390,N
A00391,N
A00392,N
A00393,N
A00398,N
A00401,N
A00403,N
A00407,N
A00408,N
A00409,N
A00410,N
A00411,N
A00414,N
A00415,N
A00416,N
A00417,N
A00418,N
A00419,N
A00420,N
A00421,N
A00423,N
A00424,N
A00425,N
A00426,N
A00429,N
A00433,N
A00435,N
A00436,N
A00437,N
A00440,N
A00442,N
A00446,N
A00447,N
A00448,N
A00449,N
A00450,N
A00452,N
A00454,N
A00455,N
A00457,N
A00458,N
A00459,N
A00460,N
A00462,N
A00463,N
A00464,N
A00467,N
A00469,N
A00471,N
A00472,N
A00475,N
A00476,N
A00478,N
A00479,N
A00480,N
A00481,N
